V ,A_mean
10.0, 0.44815293815320084
10.989, 0.44825508333742725
10.989, 0.44815293815320084
12.014, 0.4572438595493481
12.014, 0.4578567306547063
13.003, 0.4709313142356868
13.003, 0.4773664608419523
13.992, 0.4977954976872346
13.992, 0.5054563865042133
14.981, 0.5213910352435318
14.981, 0.524966116691457
16.007, 0.5021877406089703
16.007, 0.49871480434527266
16.996, 0.4760385734470081
16.996, 0.47031844313032783
17.985, 0.4567331336282163
17.985, 0.45714171436512147
19.01, 0.44815293815320084
19.01, 0.44815293815320084
20.0, 0.44794864778474797
20.0, 0.44815293815320084
20.989, 0.44815293815320084
20.989, 0.44835722852165355
22.014, 0.4578567306547064
22.014, 0.45846960176006457
23.003, 0.47787718676308455
23.003, 0.48083939710565005
23.992, 0.5094400486890428
24.029, 0.5118915331104767
24.981, 0.5241489552176457
24.981, 0.5269068751917588
26.007, 0.49513972289734726
26.043, 0.4890110118437607
26.996, 0.4683776846300253
27.032, 0.46296398986602627
27.985, 0.4491743899954645
27.985, 0.44825508333742725
29.01, 0.44754006704784227
29.047, 0.44794864778474797
30.036, 0.4476422122320686
30.036, 0.44815293815320084
31.025, 0.44856151889010626
31.025, 0.45295376181183994
32.051, 0.4685819749984782
32.051, 0.4746085408678377
33.04, 0.49708048139764965
33.04, 0.5070907094518365
34.029, 0.5302776662712307
34.029, 0.528847633692061
35.018, 0.4930968192128191
35.018, 0.4889088666595343
36.043, 0.4610232313657247
36.043, 0.4581631662073854
37.032, 0.44815293815320084
37.032, 0.44815293815320084
38.021, 0.4472336314951628
38.021, 0.4475400670478422
39.047, 0.44815293815320084
39.047, 0.44815293815320084
40.036, 0.4584696017600646
40.036, 0.46194253802376173
41.025, 0.4839037526324428
41.025, 0.49289252884436485
42.051, 0.5222081967173432
42.051, 0.5211867448750789
43.04, 0.5100529197944014
43.04, 0.4983062236083654
44.029, 0.46909270091961014
44.029, 0.4673562327877611
45.018, 0.44948082554814384
45.018, 0.4483572285216536
46.043, 0.4475400670478421
46.043, 0.44743792186361575
47.032, 0.446825050758257
47.032, 0.4475400670478421
48.021, 0.44815293815320084
48.021, 0.4491743899954647
49.047, 0.46132966691840394
49.047, 0.46827553944579886
50.036, 0.48911315702798713
50.036, 0.4914624962651959
51.025, 0.5243532455860982
51.025, 0.5300733759027779
52.051, 0.511482952373571
52.051, 0.5065799835307048
53.04, 0.47706002528927327
53.04, 0.47113560460413906
54.029, 0.4550988106805939
54.029, 0.4496851159165964
55.018, 0.44805079296897443
55.018, 0.4473357766793893
56.043, 0.4465186152055778
56.043, 0.4479486477847479
57.032, 0.4487658092585591
