V ,A_mean
10.0, 0.44845937370588
10.989, 0.4737913793940269
10.989, 0.47215705644640305
12.014, 0.5024941761616484
12.014, 0.5080100161098736
13.003, 0.4986126591610449
13.003, 0.5013705791351578
13.992, 0.47195276607795106
13.992, 0.46541547428745944
14.981, 0.4482550833374272
14.981, 0.44866366407433267
16.007, 0.43742769380942426
16.007, 0.4377341293621034
16.996, 0.42833677241327633
16.996, 0.4283367724132762
17.985, 0.42772390130791804
17.985, 0.42772390130791804
19.01, 0.4288474983344084
19.01, 0.43068611165048293
20.0, 0.43844914565168847
20.0, 0.4404920493362175
20.989, 0.44825508333742725
20.989, 0.452647326259162
22.014, 0.47992009044761214
22.014, 0.48012438081606446
23.003, 0.5095421938732692
23.003, 0.5174073730587018
23.992, 0.5023920309774218
24.029, 0.4940161258708572
24.981, 0.4637811513398374
24.981, 0.45622240770708444
26.007, 0.44508858262640766
26.007, 0.440594194520444
26.996, 0.43375046717727456
26.996, 0.4312989827558416
27.985, 0.4280303368605972
27.985, 0.4293582242555402
29.047, 0.4371212582567453
29.047, 0.43804056491478266
30.036, 0.44794864778474797
30.036, 0.4486636640743328
31.025, 0.4755278475258762
31.025, 0.48410804300089477
32.051, 0.512300113847382
32.051, 0.5196545671116827
33.04, 0.49432256142353487
33.04, 0.49074747997561
34.029, 0.45928676323387574
34.029, 0.45755029510202727
35.018, 0.4442714211525953
35.018, 0.43926630712549986
36.043, 0.434363338282633
36.043, 0.4306861116504832
37.032, 0.4295625146239931
37.032, 0.4298689501766718
38.021, 0.438347000467462
38.021, 0.44202422709961375
39.047, 0.4530559069960667
39.047, 0.45816316620738534
40.036, 0.48829599555417647
40.036, 0.49330110958127044
41.025, 0.5205738737697205
41.025, 0.5198588574801355
42.051, 0.4917689318178751
42.051, 0.48655952742232766
43.04, 0.45816316620738545
43.04, 0.45213660033802927
44.029, 0.444067130784143
44.029, 0.4393684523097265
45.018, 0.4344654834668592
45.018, 0.4332397412561427
46.043, 0.42986895017667204
46.043, 0.4299710953608983
47.032, 0.4378362745463298
47.032, 0.4379384197305563
48.021, 0.4480507929689744
48.021, 0.44856151889010626
49.047, 0.4739956697624791
49.047, 0.48083939710565077
50.036, 0.511278662005118
50.036, 0.5203695834012677
51.025, 0.5086228872152317
51.025, 0.49309681921281795
52.051, 0.463781151339837
52.051, 0.4579588758389327
53.04, 0.4453950181790867
53.04, 0.439674887862406
54.029, 0.43456762865108556
54.029, 0.43119683757161525
55.018, 0.43140112794006774
55.018, 0.43221828941387896
56.043, 0.43804056491478266
56.043, 0.44212637228384044
57.032, 0.45305590699606635
57.032, 0.4572438595493479
58.021, 0.48196299413214067
58.021, 0.49248394810745927
59.047, 0.5219017611646642
59.047, 0.5276218914813438
60.036, 0.4891131570279875
60.073, 0.47900078378957545
61.025, 0.45356663291719795
61.025, 0.44825508333742725
62.051, 0.43916416194127333
62.051, 0.4379384197305562
63.04, 0.4327290153350108
63.04, 0.4321161442296523
64.029, 0.43344403162459527
64.029, 0.4357933708618022
65.054, 0.4391641619412736
65.054, 0.4439649855999169
66.08, 0.45673313362821605
66.08, 0.4591846180496494
67.069, 0.4890110118437607
67.069, 0.5018813050562901
68.058, 0.5242511004018717
68.058, 0.5228210678227017
69.084, 0.4868659629750073
69.084, 0.47889863860534904
70.036, 0.45213660033802894
70.073, 0.44815293815320084
71.062, 0.43947059749395295
71.062, 0.43814271009900907
72.087, 0.4322182894138788
72.087, 0.4323204345981054
73.076, 0.43405690272995384
73.076, 0.43477191901953866
74.065, 0.4388577263885943
74.065, 0.4451907278106339
75.054, 0.45040013220618114
75.054, 0.4577545854704799
76.08, 0.48758097926459176
76.08, 0.49187107700210136
77.069, 0.5285411981393815
77.069, 0.5219017611646639
78.058, 0.49442470660776283
78.058, 0.48655952742232805
79.084, 0.4571417143651215
79.084, 0.45428164920678354
80.073, 0.4460078892844457
80.073, 0.4392663071254999
81.062, 0.4356912256775758
81.062, 0.4339547575457273
82.087, 0.43344403162459555
82.087, 0.43599766123025485
83.076, 0.43875558120436764
83.076, 0.4436585500472373
84.065, 0.44948082554814345
84.065, 0.45714171436512163
85.054, 0.48114583265832894
85.054, 0.48941959258066653
86.08, 0.5207781641381732
86.08, 0.5268047300075323
87.069, 0.5019834502405175
87.069, 0.4934032547654985
88.058, 0.46286184468180025
88.058, 0.45826531139161186
89.084, 0.44805079296897443
89.084, 0.4467229055740305
90.109, 0.4371212582567451
90.109, 0.437631984177877
91.062, 0.4340569027299535
91.062, 0.4322182894138788
92.087, 0.43691696788829254
92.124, 0.43722340344097155
93.076, 0.4412070656258023
93.113, 0.44651861520557773
94.102, 0.44876580925855913
94.102, 0.45622240770708417
95.091, 0.47726431565772615
95.091, 0.48053296155297087
96.117, 0.5124022590316084
96.117, 0.5152623241899477
97.106, 0.5148537434530419
97.106, 0.5041284991092715
98.095, 0.47726431565772603
98.095, 0.4716463305252711
99.12, 0.4493786803639173
99.12, 0.44815293815320084
100.1, 0.43977703304663207
99.12, 0.44794864778474797
99.12, 0.44508858262640705
98.095, 0.4522387455222555
98.095, 0.44948082554814356
97.106, 0.46296398986602605
97.106, 0.4633725706029316
96.117, 0.4871723985276856
96.117, 0.48931744739643995
95.091, 0.5099507746101748
95.091, 0.510767936083986
94.102, 0.5190416960063243
94.102, 0.5212888900593053
93.113, 0.49626331992383643
93.113, 0.4929946740285914
92.124, 0.475936428262782
92.124, 0.4718506208937238
91.098, 0.4554052462332734
91.062, 0.4504001322061812
90.109, 0.4453950181790868
90.109, 0.44416927596836936
89.12, 0.4378362745463299
89.084, 0.4378362745463298
88.095, 0.4345676286510854
88.058, 0.4333418864403691
87.069, 0.43375046717727456
87.069, 0.4355890804933493
86.08, 0.43773412936210343
86.08, 0.437631984177877
85.054, 0.4453950181790865
85.054, 0.44549716336331285
84.065, 0.4516258744168977
84.065, 0.45407735883833084
83.076, 0.4724634919990826
83.076, 0.47522141197319645
82.087, 0.49881694952949834
82.087, 0.5026984665301016
81.062, 0.5279283270340233
81.062, 0.5249661166914565
80.073, 0.49953196581908316
80.073, 0.49697833621342336
79.084, 0.47409781494670544
79.084, 0.4679691038931209
78.058, 0.44927653517969085
78.058, 0.4482550833374272
77.069, 0.44233066265229315
77.069, 0.44028775896776445
76.08, 0.43732554862519796
76.08, 0.43681482270406596
75.054, 0.4345676286510857
75.054, 0.43385261236150074
74.065, 0.43752983899365067
74.065, 0.4378362745463299
73.076, 0.4435564048630105
73.076, 0.4466207603898039
72.087, 0.4527494714433876
72.087, 0.4570395691808954
71.062, 0.4754257023416505
71.062, 0.4845166237377998
70.073, 0.5091336131363638
70.073, 0.5100529197944013
69.084, 0.5201652930328148
69.084, 0.5174073730587019
68.058, 0.48860243110685525
68.058, 0.48410804300089416
67.069, 0.459082472865423
67.069, 0.4588781824969701
66.08, 0.44794864778474797
66.08, 0.4474379218636157
65.054, 0.4380405649147826
65.054, 0.43773412936210343
64.029, 0.4345676286510857
64.029, 0.4356912256775758
63.076, 0.43701911307251873
63.04, 0.437631984177877
62.087, 0.4426370982049728
62.051, 0.44600788928444535
61.025, 0.45448593957523603
61.025, 0.45846960176006457
60.073, 0.48421018818512096
60.073, 0.4880917051857236
59.047, 0.5190416960063245
59.047, 0.521901761164664
58.021, 0.5091336131363637
58.021, 0.5043327894777244
57.032, 0.4750171216047436
57.032, 0.4715441853410457
56.043, 0.44978726110082284
56.043, 0.4484593737058799
55.018, 0.4406963397046705
55.018, 0.4388577263885944
54.029, 0.4370191130725187
54.029, 0.43558908049334943
53.04, 0.43497620938799125
53.04, 0.4369169678882922
52.051, 0.4382448552832355
52.051, 0.43998132341508495
51.025, 0.4483572285216536
51.025, 0.45213660033802905
50.036, 0.47614071863123464
50.036, 0.48329088152708244
49.047, 0.5188374056378715
49.047, 0.5215953256119846
48.021, 0.5106657908997596
48.021, 0.49483328734466797
47.032, 0.46337257060293197
47.032, 0.4588781824969702
46.043, 0.44774435741629504
46.043, 0.446314324837125
45.018, 0.4377341293621034
45.018, 0.4368148227040659
44.029, 0.4362019515987077
44.029, 0.4362019515987078
43.04, 0.4385512908359149
43.04, 0.44049204933621705
42.051, 0.44815293815320084
42.051, 0.45019584183772826
41.025, 0.4732806534728954
41.025, 0.4822694296848204
40.036, 0.5153644693741737
40.036, 0.5165902115848909
39.047, 0.5155687597426266
39.047, 0.5047413702146298
38.021, 0.47031844313032767
38.021, 0.4661304905770444
37.032, 0.44815293815320084
37.032, 0.4474379218636158
36.043, 0.4379384197305562
36.043, 0.43783627454632984
35.018, 0.4357933708618021
35.018, 0.4354869353091229
34.029, 0.43804056491478266
34.029, 0.4391641619412734
33.04, 0.44815293815320084
33.04, 0.4484593737058799
32.051, 0.47174847570949774
32.051, 0.47593642826278176
31.025, 0.5088271775836846
31.025, 0.5172030826902492
30.036, 0.5091336131363638
30.036, 0.5044349346619503
29.047, 0.46847982981425196
29.047, 0.46000177952346044
28.021, 0.4471314863109363
27.985, 0.440185613783538
27.032, 0.4369169678882925
27.032, 0.43712125825674514
26.043, 0.4376319841778771
26.043, 0.43783627454632984
25.018, 0.44743792186361564
24.981, 0.44815293815320084
24.029, 0.46194253802376234
24.029, 0.4669476520508557
23.003, 0.49708048139764816
23.003, 0.5165902115848906
22.014, 0.5043327894777225
22.014, 0.5036177731881395
20.989, 0.4688884105511575
20.989, 0.4644961676294219
20.0, 0.44805079296897443
20.0, 0.44651861520557745
19.01, 0.437631984177877
19.01, 0.4360998064144814
17.985, 0.43497620938799103
17.985, 0.4355890804933495
16.996, 0.44100277525734966
16.996, 0.44529287299486014
16.007, 0.4572438595493481
16.007, 0.46316828023447854
14.981, 0.4889088666595343
14.981, 0.5049456605830822
13.992, 0.5115850975577975
13.992, 0.5025963213458752
13.003, 0.47031844313032733
13.003, 0.460818940997272
12.014, 0.447744357416295
12.014, 0.4474379218636157
10.989, 0.4378362745463298
10.989, 0.43742769380942437
10.0, 0.4370191130725188
10.0, 0.4377341293621035
10.0, 0.4378362745463298
10.989, 0.4370191130725188
10.989, 0.4376319841778771
