V ,A_mean
10.0, 2.8809107424788265, 0.0006950099473259383
10.989, 2.675939406131166, 0.0013914092202302784
10.989, 2.636443268230291, 0.0009241280462827618
12.014, 2.1883663934237783, 0.005106880881810748
12.014, 2.0933713720932188, 0.005206918788998089
13.003, 1.5509804438509895, 0.002070149867061548
13.003, 1.4832241383141378, 0.0021712804863411555
13.992, 0.9718172492872552, 0.0008246930751794365
13.992, 0.9622836987594543, 0.002695348577884301
14.981, 0.7341594539871431, 2.0269806481627057e-17
14.981, 0.697046703718214, 0.0008986884435368635
16.007, 0.835623670318705, 0.0004651896327766096
16.007, 0.8546907713743054, 0.00111894443082673
16.996, 1.3024271622333958, 0.003682372326126902
16.996, 1.4709667162069704, 0.0016493861503600207
17.985, 1.9541134375978826, 0.000924128046282654
17.985, 2.062387332877874, 0.0031384913187349063
19.01, 2.661298596392051, 0.001002357600816372
19.01, 2.7198618353485244, 0.0028323680616849796
20.0, 2.9044041348509033, 0.000930379265553866
20.0, 2.903723166956062, 0.0009136143020181449
20.989, 2.8203045998378258, 0.0017148587049830803
20.989, 2.7161165119268875, 0.0010195585100666886
22.014, 2.280637543174968, 0.0014120850814908115
22.014, 2.1318460581518335, 0.002047627167560909
23.003, 1.552682863588095, 0.0017182355222441212
23.003, 1.4965030122635723, 0.0026145679333364415
23.992, 1.011313387188129, 0.0006339466097123858
23.992, 0.9415141779667494, 0.0008546079254521279
24.981, 0.6980681555604781, 0.0009303792655538658
24.981, 0.6933013802965783, 2.0269806481627057e-17
26.007, 0.891803521643234, 0.0009241280462832967
26.007, 0.9639861184965641, 0.0014243465424202137
26.996, 1.4740310717337612, 0.0025788521804300836
26.996, 1.634399010969224, 0.006650050426777451
27.985, 2.153637030786799, 0.0017012844120473038
27.985, 2.2578251186977365, 0.0013690108284089332
29.01, 2.7246286106124233, 0.002712498370702368
29.01, 2.809409113520344, 0.001870080508059376
30.0, 2.94628366038373, 0.0014189100853974396
30.036, 2.922790268011655, 0.0010695026610795212
31.025, 2.6694702111301605, 0.0015022507777302076
31.025, 2.516933402685392, 0.0017844304264400263
32.051, 1.9476442425968776, 0.0007459629538844865
32.051, 1.8795474531126044, 0.0018482560925665934
33.003, 1.213220368008998, 0.004627325914393387
33.04, 1.1240135737846015, 0.0025967714615016293
34.029, 0.794765596628145, 0.0023059252820322386
34.029, 0.7215615479325513, 0.0010420514780135328
35.018, 0.776038979519969, 0.001113752085265222
35.018, 0.8489025442681408, 0.0007887673985555065
36.043, 1.286764900652014, 0.00242437960012394
36.043, 1.4638165533111207, 0.0027528009583190826
37.032, 2.058301525508819, 0.0031013334423874673
37.032, 2.241822373168932, 0.0033221184681757393
38.021, 2.614992779542745, 0.004686655687798008
38.021, 2.780467977989525, 0.00256307004305245
39.047, 2.9541147911744203, 0.0011120159157213085
39.047, 2.9401549493301475, 0.0003347611205570695
40.036, 2.665043919813685, 0.0005864500360130222
