V ,A_mean
10.0, 0.46796910389311963
10.989, 0.4579588758389327
10.989, 0.4566309884439897
12.014, 0.45060442257463357
12.014, 0.4492765351796909
13.003, 0.44917438999546455
13.003, 0.44958297073237
13.992, 0.4561202625228579
13.992, 0.45632455289131085
14.981, 0.4618403928395358
14.981, 0.4601039247076868
16.007, 0.47225920163063057
16.007, 0.4740978149467061
16.996, 0.4874788340803649
16.996, 0.4890110118437607
17.985, 0.4906453347913839
17.985, 0.490645334791384
19.01, 0.48962388294911935
19.01, 0.48911315702798713
20.0, 0.4786943482368961
20.0, 0.4793072193422545
20.989, 0.46500689355055425
20.989, 0.4658240550243653
22.014, 0.45469022994368885
22.014, 0.4534644877329723
23.003, 0.4486636640743328
23.003, 0.44876580925855913
24.029, 0.44856151889010637
24.029, 0.44937868036391726
24.981, 0.4582653113916118
24.981, 0.45826531139161175
26.043, 0.4687862653669309
26.007, 0.47052273349878077
26.996, 0.4868659629750064
26.996, 0.48880672147530796
27.985, 0.4924839481074597
27.985, 0.49381183550240376
29.047, 0.4889088666595343
29.047, 0.4868659629750063
30.036, 0.47746860602617885
30.036, 0.4690927009196106
31.025, 0.4602060698919134
31.025, 0.45836745657583816
32.051, 0.44988940628504936
32.051, 0.4489700996270119
33.04, 0.4483572285216536
33.04, 0.44845937370587996
34.029, 0.4516258744168974
34.029, 0.45581382697017875
35.018, 0.4595931987865549
35.018, 0.4623511187606675
36.043, 0.4793072193422547
36.043, 0.4833930267113102
37.032, 0.4903388992387046
37.032, 0.49452685179198863
38.021, 0.4890110118437607
38.021, 0.48890886665953437
39.047, 0.4738935245782528
39.047, 0.4697055720249688
40.036, 0.45836745657583816
40.036, 0.45734600473357434
41.025, 0.44876580925855913
41.025, 0.44856151889010637
42.051, 0.44815293815320084
42.051, 0.44886795444278543
43.04, 0.45632455289131085
43.04, 0.45703956918089544
44.029, 0.4666412164981764
44.029, 0.4697055720249691
45.018, 0.4878874148172703
45.018, 0.4890110118437607
46.043, 0.49411827105508255
46.043, 0.4958547391869323
47.032, 0.48890886665953437
47.032, 0.4829844459744043
48.021, 0.4688884105511573
48.021, 0.46745837797198764
49.047, 0.4564266980755371
49.047, 0.45213660033802955
50.036, 0.44815293815320084
50.036, 0.4482550833374272
51.025, 0.44845937370588
51.025, 0.44917438999546455
52.051, 0.4581631662073854
52.051, 0.4593889084181021
53.04, 0.47082916905146005
53.04, 0.4759364282627827
54.029, 0.4890110118437607
54.029, 0.48921530221221365
55.018, 0.49656975547651766
55.018, 0.4961611747396119
56.043, 0.48737668889613855
56.043, 0.4823715748690456
57.032, 0.4664369261297235
57.032, 0.46214682839221477
58.021, 0.4543837943910098
58.021, 0.4510130033115393
59.047, 0.4482550833374272
59.047, 0.44815293815320084
60.036, 0.44948082554814384
60.073, 0.45040013220618097
61.025, 0.4592867632338757
61.025, 0.46490474836632745
62.051, 0.47889863860534904
62.051, 0.4847209141062531
63.04, 0.490441044422931
63.04, 0.4957525940027058
64.029, 0.49115606071251616
64.029, 0.48921530221221365
