voltaggioEffettivo,media,erroreMedia
-1.226319e-06,8.397499755389216,0.07090259172997557
0.9999415,7.769511162765256,0.11575460757710967
2.000021,7.080031169237001,0.027010400769093303
2.999698,4.7521424207171465,0.11525236272382551
4.001217,3.17359074368223,0.13882263346714424
4.999428,1.4504014857827199,0.10793880308880317
6.001435,1.1145481200462868,0.006638651196031423
6.99947,1.3607180140319308,0.009714001649522727
8.001277,2.3362045233941355,0.01478249397458294
8.999133,3.9335509143267107,0.07124697991229731
10.00069,4.57604412311082,0.04048043420575567
10.99885,4.549077794475046,0.02495689270494178
12.00033,3.78258033204008,0.06366390664002294
12.99904,2.204232945373614,0.11795606285801731
13.99993,9.704140952013436,0.05757799998774311
14.99888,5.713124313919201,0.06553742004074102
15.99967,3.0710369787189165,0.09205066482394317
16.99897,1.603619262122331,0.06442892008229124
18.00032,3.6297711364373724,0.08473101573707519
18.9986,5.978497502539407,0.1221494121791702
19.99996,6.015678349597823,0.025874002222729203
20.99923,3.5453992142663573,0.037295723235818826
21.99604,1.4083176698814404,0.006775545004413788
22.99706,1.130891349522514,0.027359659575175114
23.99662,2.5335490193195565,0.1169169324324518
24.99692,4.218331687949937,0.02832572705163576
25.99706,4.688403825759868,0.046209379499549376
26.99757,3.3672580129755025,0.06664658217835312
27.99811,1.6765509236599865,0.027696982667530196
28.99521,1.418736478672533,0.0166581227579381
29.99498,2.621189587385813,0.0712622083818959
30.99569,4.502908171204711,0.0758894037561144
31.99663,4.628546747803195,0.02282299227739794
32.99662,6.73069463918268,0.07753377964005724
33.99709,9.834478207086324,0.02574707101677491
34.99674,6.615883452112199,0.1673896239790251
35.9975,2.3531606239757172,0.11630654548875916
36.99804,1.70576444634874,0.17064838055378828
37.99838,5.015064124915921,0.23237299791595054
38.99547,7.384628108600147,0.05752288614354207
39.99624,5.339681520387449,0.04501996125789789
40.99557,1.9615359876516671,0.03718758129586743
41.99611,1.1776738438982084,0.06108555308777319
42.99681,3.3617421730272756,0.03054533849198021
43.99695,5.018332770811172,0.009381800239889928
44.99749,4.134981217621188,0.07281483060715722
45.99759,2.1570418702610135,0.029053078453863068
46.998,1.1449873849457568,0.015993470086395612
47.99523,2.438758288357448,0.37250173802508424
48.99599,4.664706143019341,0.12293120936556802
49.99648,4.886565483159104,0.02569839669443059
50.99664,3.187278198368566,0.025133527788001982
51.99622,1.5556110255359203,0.021916272251036997
52.99671,1.6612291460260258,0.02058776668194313
53.99699,3.3078095157557357,0.0035147443967109646
54.99752,4.832019954782199,0.04068867223339746
55.9982,5.6226236806946,0.0749244500174661
56.99784,9.517828135984464,0.20891464642849714
57.99463,7.694740887911522,0.1420539507460652
58.99546,3.162559063785777,0.24313823988564054
59.9959,1.2318107915382048,0.011742698520318983
60.99651,3.3707309492392,0.05582175908939279
61.9962,6.611797644743142,0.045867168704621715
62.99702,5.70025402070667,0.04737114383859956
63.99746,3.0236416132378623,0.3608372282740514
64.99784,1.006069934397843,0.03766318862957363
65.99778,2.2452953094326302,0.02305948743361823
