V ,A_mean
100.14, 0.4532601973645195
100.1, 0.4501958418377279
100.1, 0.449174389995464
100.1, 0.4507065677588598
100.1, 0.44917438999546394
100.1, 0.4501958418377279
100.1, 0.44968511591659593
100.1, 0.4507065677588598
100.1, 0.4512172936799918
100.1, 0.4501958418377279
100.1, 0.448663664074332
100.1, 0.4501958418377279
100.1, 0.4507065677588598
100.1, 0.4512172936799918
100.1, 0.45070656775885987
100.1, 0.4553031010490474
100.1, 0.45428164920678354
100.1, 0.4547923751279155
100.1, 0.45172801960112374
100.1, 0.4542816492067835
100.1, 0.45428164920678354
100.1, 0.448663664074332
100.1, 0.4507065677588598
100.1, 0.44968511591659593
100.1, 0.44815293815320006
100.1, 0.4512172936799918
100.1, 0.44917438999546394
100.1, 0.4496851159165959
100.1, 0.4522387455222557
100.1, 0.44968511591659593
100.1, 0.44917438999546394
100.1, 0.4501958418377279
100.1, 0.44968511591659593
100.1, 0.4496851159165959
100.1, 0.45070656775885987
100.1, 0.4507065677588598
100.1, 0.44968511591659593
100.1, 0.4501958418377279
100.1, 0.45172801960112374
100.1, 0.44968511591659593
100.1, 0.4522387455222557
100.1, 0.45223874552225574
100.1, 0.4512172936799918
100.1, 0.4517280196011238
100.1, 0.4501958418377279
100.1, 0.45070656775885987
100.1, 0.45121729367999186
100.1, 0.4507065677588598
100.1, 0.4501958418377278
100.1, 0.45121729367999175
100.1, 0.45121729367999175
100.1, 0.44917438999546394
100.1, 0.44968511591659593
100.1, 0.449174389995464
100.1, 0.45121729367999175
100.1, 0.4507065677588598
100.1, 0.4501958418377278
100.1, 0.4507065677588598
100.1, 0.4517280196011237
100.1, 0.44917438999546394
100.1, 0.4507065677588598
100.1, 0.4507065677588598
100.1, 0.44968511591659593
100.1, 0.44917438999546394
100.1, 0.45070656775885987
100.1, 0.44917438999546394
100.1, 0.4496851159165959
100.1, 0.4507065677588598
100.1, 0.45070656775885987
100.1, 0.4501958418377279
100.1, 0.4512172936799918
100.1, 0.4501958418377279
100.1, 0.4501958418377279
100.1, 0.4496851159165959
100.1, 0.44968511591659593
100.1, 0.44917438999546394
100.1, 0.4501958418377279
100.1, 0.4501958418377279
100.1, 0.4496851159165959
100.1, 0.44968511591659593
100.1, 0.45223874552225574
100.1, 0.4522387455222557
100.1, 0.4507065677588598
100.1, 0.45172801960112374
100.1, 0.44968511591659593
100.1, 0.4501958418377279
100.1, 0.4512172936799918
100.1, 0.448663664074332
100.1, 0.44917438999546394
100.1, 0.4501958418377279
100.1, 0.44968511591659593
100.1, 0.4501958418377278
100.1, 0.4501958418377279
100.1, 0.4522387455222557
100.1, 0.4501958418377279
100.1, 0.45172801960112374
100.1, 0.45223874552225574
100.1, 0.45172801960112374
100.1, 0.4537709232856516
100.1, 0.45377092328565155
100.1, 0.45172801960112374
100.1, 0.4522387455222557
