voltaggioEffettivo,media
5.361711e-06,3.308218096492638
1.00003,3.3695052070284817
1.99992,3.4690967616492294
3.000143,3.6069927603548813
4.000915,3.696369796552986
4.999808,3.706584314975629
5.999694,3.5737955754812987
7.000459,3.33886165176056
7.999865,3.308218096492638
8.999828,3.4971866873114905
9.998947,3.675940759707707
10.99962,3.6452972044397853
12.00016,3.553366538636018
12.99957,3.32098624452094
13.99974,3.308218096492638
14.99926,3.4205777991416895
15.9989,3.6121000195662027
16.99933,3.7219060926095935
17.99878,3.619760908383185
18.99909,3.433345947169986
19.99836,3.308218096492638
20.99914,3.3899342438737605
21.99182,3.6044391307492205
22.99676,3.7244597222152542
23.99279,3.6452972044397853
24.9964,3.3695052070284817
25.99252,3.3567370590001797
26.99728,3.5916709827209186
27.99356,3.7423351294548723
28.99486,3.5967782419322383
29.99074,3.4078096511133857
30.99484,3.3592906886058387
31.99213,3.4665431320435687
32.99593,3.7219060926095935
33.99344,3.7423351294548723
34.99606,3.5380447610020553
35.99447,3.3695052070284817
36.99737,3.4512213544096113
37.99651,3.668279870890725
38.99504,3.755103277483176
39.99495,3.647850834045446
40.99508,3.3899342438737605
41.99583,3.4129169103247072
42.99617,3.706584314975629
43.99754,3.7627641663001548
44.99669,3.6121000195662027
45.99902,3.3899342438737605
46.99718,3.532937501790734
47.99767,3.696369796552986
48.99502,3.663172611679405
49.99942,3.4180241695360287
50.99539,3.349076170183203
52.0,3.599331871537899
52.99553,3.7423351294548723
54.00166,3.33886165176056
54.99604,3.3133253557039595
56.00344,3.4001487622964035
56.99679,3.5482592794246983
58.00098,3.747442388666194
58.99425,3.696369796552986
60.00259,3.502293946522812
60.99484,3.4103632807190465
62.00326,3.532937501790734
62.99537,3.747442388666194
64.00498,3.783193203145437
64.996,3.6427435748341246
66.00566,3.4512213544096113
66.99345,3.492079428100169
68.0026,3.6299754268058244
68.99358,3.7704250551171334
70.00436,3.6555117228624283
70.99457,3.543152020213377
72.00436,3.512508464945455
72.99483,3.7985149807793945
74.00452,3.8291585360473235
74.99574,3.6248681675945065
76.00471,3.5099548353397942
76.99437,3.5942246123265775
78.00076,3.7014770557643075
78.99352,3.8291585360473235
79.99973,3.7653177959058137
80.99451,3.5661346866643164
81.99884,3.349076170183203
82.99543,3.522722983368098
83.99813,3.6248681675945065
84.99529,3.6248681675945065
85.9939,3.6146536491718635
86.99335,3.532937501790734
87.99417,3.568688316269977
88.99374,3.512508464945455
89.99303,3.844480313681281
90.994,3.5840100939039417
91.99396,3.568688316269977
92.99506,3.6146536491718635
93.99368,3.5840100939039417
94.99532,3.854694832103924
95.98991,3.6452972044397853
96.99291,3.7091379445812898
97.99123,3.747442388666194
98.99403,3.267360022802073
