voltaggioEffettivo,media
-4.00003e-06,6.390449030524515
2.284801,5.560519408684945
9.999419,7.978806645245168
12.09567,8.042647385386672
19.99889,7.276558503688609
21.88283,4.799537786198201
29.99383,4.0743069781907
31.86689,3.727013351820915
39.99708,5.121295116511387
45.03755,4.135594088726549
49.99722,5.3460145218094866
55.02645,4.7740014901416
59.99683,5.7265053330528595
64.99677,3.938964609090709
69.99699,6.461950659483001
75.0026,5.749487999503801
79.99599,5.172367708624591
84.99292,3.6555117228624248
89.99604,4.3245626795454015
94.99631,3.803622239990716
