V ,A_mean
4.9816, 0.44815293815320006
4.9816, 0.44815293815320006
4.9816, 0.44815293815320006
4.9816, 0.44815293815320006
4.9816, 0.44815293815320006
4.9816, 0.44815293815320006
4.9816, 0.44815293815320006
4.9816, 0.44815293815320006
4.9816, 0.44815293815320006
4.9816, 0.44917438999546394
4.9816, 0.44815293815320006
4.9816, 0.44815293815320006
4.9816, 0.44815293815320006
4.9816, 0.44815293815320006
4.9816, 0.44815293815320006
4.9816, 0.44815293815320006
4.9816, 0.448663664074332
4.9816, 0.44968511591659593
4.9816, 0.44917438999546394
4.9816, 0.4517280196011237
4.9816, 0.44815293815320006
4.9816, 0.4501958418377279
4.9816, 0.44917438999546394
4.9816, 0.448663664074332
4.9816, 0.44968511591659593
4.9816, 0.44917438999546394
4.9816, 0.44968511591659593
4.9816, 0.4501958418377279
4.9816, 0.4501958418377279
4.9816, 0.44968511591659593
4.9816, 0.4501958418377279
4.9816, 0.45121729367999175
4.9816, 0.4512172936799918
4.9816, 0.4512172936799918
4.9816, 0.4517280196011237
4.9816, 0.4507065677588598
4.9816, 0.4501958418377279
4.9816, 0.4507065677588598
4.9816, 0.4507065677588598
4.9816, 0.4512172936799918
4.9816, 0.4507065677588598
4.9816, 0.45172801960112374
4.9816, 0.4517280196011237
4.9816, 0.4507065677588598
4.9816, 0.4522387455222557
4.9816, 0.4507065677588598
4.9816, 0.45172801960112374
4.9816, 0.45172801960112374
4.9816, 0.4547923751279154
4.9816, 0.4517280196011237
4.9816, 0.45172801960112374
4.9816, 0.4532601973645196
4.9816, 0.4532601973645196
4.9816, 0.4527494714433877
4.9816, 0.45121729367999186
4.9816, 0.4507065677588598
4.9816, 0.45530310104904737
4.9816, 0.4512172936799918
4.9816, 0.45019584183772793
4.9816, 0.45326019736451956
4.9816, 0.4517280196011237
4.9816, 0.4542816492067835
4.9816, 0.4527494714433877
4.9816, 0.4558138269701794
4.9816, 0.4542816492067835
4.9816, 0.45326019736451967
4.9816, 0.4553031010490474
4.9816, 0.4527494714433877
4.9816, 0.4532601973645196
4.9816, 0.4527494714433876
4.9816, 0.4522387455222557
4.9816, 0.4522387455222557
4.9816, 0.4522387455222557
4.9816, 0.45377092328565155
4.9816, 0.4527494714433876
4.9816, 0.4527494714433876
4.9816, 0.45326019736451956
4.9816, 0.45019584183772793
4.9816, 0.45223874552225574
4.9816, 0.4527494714433877
4.9816, 0.4507065677588598
4.9816, 0.4527494714433876
4.9816, 0.45326019736451956
4.9816, 0.45172801960112374
4.9816, 0.45326019736451956
4.9816, 0.45223874552225574
4.9816, 0.45121729367999175
4.9816, 0.45070656775885987
4.9816, 0.4517280196011238
4.9816, 0.4507065677588598
4.9816, 0.4532601973645196
